FECHA;DIA;Se11HumMin;Se11VelViento;Se11Precip;Se11ETo
31/12/25;365;54.4;0.5;0.2;0.7
30/12/25;364;56.4;0.4;0.2;0.7
29/12/25;363;50.6;0.4;0.0;0.7
28/12/25;362;53.5;1.1;1.6;1.0
27/12/25;361;58.0;1.3;3.4;0.9
26/12/25;360;59.3;0.4;0.0;0.6
25/12/25;359;63.5;0.4;0.2;0.6
24/12/25;358;56.4;0.4;1.2;0.7
23/12/25;357;84.9;0.7;10.6;0.5
22/12/25;356;62.0;0.7;0.2;0.6
21/12/25;355;76.1;1.2;17.0;0.7
20/12/25;354;58.2;1.4;2.2;0.9
19/12/25;353;62.2;0.7;7.0;0.8
18/12/25;352;48.7;0.3;0.2;0.7
17/12/25;351;63.5;0.7;0.2;0.8
16/12/25;350;76.6;1.2;11.8;0.7
15/12/25;349;72.0;0.6;4.4;0.7
14/12/25;348;46.2;0.7;1.8;1.0
13/12/25;347;48.2;0.9;0.0;1.1
12/12/25;346;68.6;1.2;0.2;0.9
11/12/25;345;54.1;0.4;0.2;0.8
10/12/25;344;60.3;0.4;11.4;0.7
09/12/25;343;40.7;0.3;0.2;0.8
08/12/25;342;64.1;0.4;0.2;0.7
07/12/25;341;58.5;0.5;0.2;0.8
06/12/25;340;71.1;0.4;0.0;0.7
05/12/25;339;98.7;1.2;2.2;0.5
04/12/25;338;71.0;1.1;0.0;0.8
03/12/25;337;49.7;1.2;0.8;1.1
02/12/25;336;76.4;0.8;3.4;0.7
01/12/25;335;56.9;0.5;0.2;0.8
30/11/25;334;75.6;0.6;2.0;0.7
29/11/25;333;41.8;0.6;0.2;1.0
28/11/25;332;37.2;0.4;0.0;0.9
27/11/25;331;29.0;0.9;0.0;1.3
26/11/25;330;33.7;0.9;0.0;1.2
25/11/25;329;49.5;1.5;1.6;1.3
24/11/25;328;64.8;1.4;0.6;1.1
23/11/25;327;31.7;0.6;0.0;1.1
22/11/25;326;39.1;1.0;0.0;1.2
21/11/25;325;38.0;0.8;0.2;1.1
20/11/25;324;47.8;0.5;0.0;1.0
19/11/25;323;44.4;0.6;0.2;1.1
18/11/25;322;60.0;0.5;0.2;1.0
17/11/25;321;80.2;1.0;21.0;0.7
16/11/25;320;67.1;1.1;5.6;1.2
15/11/25;319;70.3;1.6;6.2;1.1
14/11/25;318;61.0;1.6;15.8;1.3
13/11/25;317;30.7;1.3;11.8;1.7
12/11/25;316;20.7;1.8;0.0;3.2
11/11/25;315;22.2;1.1;0.0;2.2
10/11/25;314;35.2;0.4;0.0;1.3
09/11/25;313;41.0;0.6;0.2;1.4
08/11/25;312;42.4;1.1;0.2;1.7
07/11/25;311;46.0;0.5;0.0;1.3
06/11/25;310;50.7;1.0;0.0;1.5
05/11/25;309;36.2;3.0;12.6;3.0
04/11/25;308;50.7;2.4;0.0;2.8
03/11/25;307;40.5;0.9;0.2;1.9
02/11/25;306;60.2;0.5;1.2;1.3
01/11/25;305;51.7;0.6;0.2;1.5
31/10/25;304;49.7;0.6;0.0;1.7
30/10/25;303;63.3;0.8;1.2;1.5
29/10/25;302;53.0;1.6;11.8;1.8
28/10/25;301;63.1;1.6;1.8;1.8
27/10/25;300;57.0;0.8;0.4;1.8
26/10/25;299;55.7;1.3;34.4;1.8
25/10/25;298;32.9;1.0;0.0;2.7
24/10/25;297;32.5;0.7;0.0;2.5
23/10/25;296;39.9;0.6;0.0;2.3
22/10/25;295;44.5;1.5;0.0;2.7
21/10/25;294;50.4;1.3;0.0;2.2
20/10/25;293;53.9;1.2;0.0;2.1
19/10/25;292;20.8;1.2;0.0;3.3
18/10/25;291;19.6;2.2;0.0;4.4
17/10/25;290;29.4;2.4;0.0;4.4
16/10/25;289;38.1;1.8;0.0;3.4
15/10/25;288;31.6;1.1;0.0;3.1
14/10/25;287;27.1;0.5;0.0;2.6
13/10/25;286;28.2;0.6;0.0;2.7
